type,name,latitude_deg,longitude_deg,continent,iso_country,iso_region,municipality,icao_code,iata_code,timezone
medium_airport,Northwest Alabama Regional Airport,34.745123,-87.612981,NA,US,US-AL,Muscle Shoals,KMSL,MSL,America/Chicago
medium_airport,Dane County Regional Truax Field,43.1399,-89.337502,NA,US,US-WI,Madison,KMSN,MSN,America/Chicago
medium_airport,Missoula International Airport,46.91630173,-114.0910034,NA,US,US-MT,Missoula,KMSO,MSO,America/Denver
large_airport,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,44.880081,-93.221741,NA,US,US-MN,Minneapolis,KMSP,MSP,America/Chicago
medium_airport,Massena International Airport Richards Field,44.936157,-74.844304,NA,US,US-NY,Massena,KMSS,MSS,America/New_York
small_airport,Sullivan County International Airport,41.701596,-74.794997,NA,US,US-NY,Monticello,KMSV,MSV,America/New_York
large_airport,Louis Armstrong New Orleans International Airport,29.993401,-90.258003,NA,US,US-LA,New Orleans,KMSY,MSY,America/Chicago
medium_airport,Selfridge Air National Guard Base Airport,42.613463,-82.836919,NA,US,US-MI,Mount Clemens,KMTC,MTC,America/Detroit
medium_airport,The Florida Keys Marathon Airport,24.726101,-81.051399,NA,US,US-FL,Marathon,KMTH,MTH,America/New_York
medium_airport,Montrose Regional Airport,38.5098,-107.893997,NA,US,US-CO,Montrose,KMTJ,MTJ,America/Denver
medium_airport,Martin State Airport,39.325699,-76.413803,NA,US,US-MD,Baltimore,KMTN,MTN,America/New_York
small_airport,Coles County Memorial Airport,39.477901,-88.279198,NA,US,US-IL,Mattoon,KMTO,MTO,America/Chicago
small_airport,Montauk Airport,41.0765,-71.920797,NA,US,US-NY,Montauk,KMTP,MTP,America/New_York
small_airport,Manitowoc County Airport,44.127116,-87.681983,NA,US,US-WI,Manitowoc,KMTW,MTW,America/Chicago
medium_airport,Muir Army Air Field (Fort Indiantown Gap) Airport,40.435214,-76.568661,NA,US,US-PA,Fort Indiantown Gap(Annville),KMUI,MUI,America/New_York
small_airport,Spence Airport,31.141569,-83.703718,NA,US,US-GA,Moultrie,KMUL,MUL,America/New_York
medium_airport,Mountain Home Air Force Base,43.043598,-115.872002,NA,US,US-ID,Mountain Home,KMUO,MUO,America/Boise
small_airport,Muscatine Municipal Airport,41.367803,-91.148201,NA,US,US-IA,Muscatine,KMUT,MUT,America/Chicago
small_airport,Monroe County Aeroplex Airport,31.458,-87.350996,NA,US,US-AL,Monroeville,KMVC,MVC,America/Chicago
small_airport,Montevideo Chippewa County Airport,44.969101,-95.710297,NA,US,US-MN,Montevideo,KMVE,MVE,America/Chicago
small_airport,Morrisville-Stowe State Airport,44.534599,-72.613998,NA,US,US-VT,Morrisville,KMVL,MVL,America/New_York
small_airport,Mount Vernon Outland Airport,38.322774,-88.859257,NA,US,US-IL,Mount Vernon,KMVN,MVN,America/Chicago
small_airport,Martha's Vineyard Airport,41.3931007385,-70.6143035889,NA,US,US-MA,Martha's Vineyard,KMVY,MVY,America/New_York
medium_airport,Veterans Airport of Southern Illinois,37.751208,-89.016568,NA,US,US-IL,Marion,KMWA,MWA,America/Chicago
small_airport,Lawrence J Timmerman Airport,43.110401,-88.034401,NA,US,US-WI,Milwaukee,KMWC,MWC,America/Chicago
medium_airport,Grant County International Airport,47.20769882,-119.3199997,NA,US,US-WA,Moses Lake,KMWH,MWH,America/Los_Angeles
small_airport,Mineral Wells Regional Airport,32.781601,-98.060204,NA,US,US-TX,Mineral Wells,KMWL,MWL,America/Chicago
small_airport,Windom Municipal Airport,43.913399,-95.109398,NA,US,US-MN,Windom,KMWM,MWM,America/Chicago
small_airport,Middletown Regional Airport,39.530998,-84.395302,NA,US,US-OH,Middletown,KMWO,MWO,America/New_York
